"Longitude","Description","Title","Active","Verified","Mode","Latitude","Location","Date","Location ID","Incident ID"
6.741486,"The people of Biseni clan are Ijaws administratively situated in Yenagoa local government area of Bayelsa State. Their immediate neighbors include JK4[Edagberi] in Ahoada Local government area of Rivers state and Agbere community in Sagbama local government area of Bayelsa state. The clan is host to the Nigerian Agip Oil Company [Eni] and the Shell Petroleum Development Company [SPDC]. Accordingly, the area has experienced several oil spills and other negative practices of the oil multinationals. While the people of Biseni were still grappling with the negative consequences of oil spills and Oil Company policies that deny them of their rights, ERA received news that some persons have arrived the clan and were attempting to acquire large parcels of their arable land. ERA’s field monitors took immediate steps to ascertain the truth or otherwise of the matter. This was done in the interest of the communities considering the issues of Climate Change, Carbon Credit and speculators dispossessing the locals of their farming land for commercial farming.","Land Grabbers Target Biseni",1,0,1,5.00613,"Biseni, Yenagoa","2010-02-06 02:27:00",57,57
6.196976,"There is no doubt that Shell is constructing a new gas flare furnace at Opolo-Epie at a time when the rest of the world is concerned about climate change and proffering ways to curb it. The Nigerian government has been shifting the deadline for gas flare stoppage in Nigeria because of oil companies’ influence. It is shocking to see that Shell is being permitted to construct a new gas flare furnace when they ought to be shutting down existing flare sites. We hope the relevant authorities will ensure this project is halted before it contributes further to the pollution and degradation of our environment.","Shell is constructing a gas flare furnace at Opolo-Epie",1,1,1,4.982189,"Tombia/Amassoma road","2010-03-11 01:52:00",59,59
7.272949,"On June 16, 2008 oil spilled at SPDC Well 18 situated at Kpor, the headquarters of Gokana local government area.  SPDC responded by deploying Dok Liaison Agency*, one of its local contracting firms to contain the spilling oil from extensive spreading. Foot workers of Dok Liaison dug four 2x2x2m ponds along the tract that the oozing oil flows.  Accumulated oil in the dugout pits was never scoop away.  Consequently, an overnight post-spill/containment rainfall led to overflow of the ditches.

Tidal regimes have caused wide-spread distribution of oil scum to the length and breadth of Bodo Creek and the network of adjoining Creeks.  Toxicity of the oil has resulted in mortal damages to food species that support the protein needs of the people.  These include Oyster (Crassostrea gasar), bloody cockle (Anadara senilis), Swimming Crab (Callinectis spp), fiddler crab (Uca tangeri), mangrove hairy crab (Gionopsis Pelli), mudskipper (Periopthalmus papilio), Mullets (Mugil cephalus, Liza spp), Snapper (Lutjanaus spp), etc. Carcasses of these and other species are visibly washed ashore or found afloat in the creek waters and on attached substrates.  Marginal macrophytes are badly affected too.  Mangroves (mostly red mangrove, Rhizophora spp and white mangrove, Avicennia germinas) dominate the creek floristic community.  These are tainted and have started showing signs of death and defoliation; some mangrove stands are dead already.  

At present however, the actual lethal and sublethal (i.e. both short and long term) impacts of the spillage cannot be estimated.  Secondly, the spill continues and the effects on the biophysical environment will increase in several folds as the oil exudation protracts. 


>> Read more here http://www.cehrd.org/files/BODO_OIL_SPILL.doc","Oil spill at SPDC Well 18 at Kpor devastates ecosystems",1,1,1,4.636655,"Well 18 situated at Kpor","2008-06-16 09:50:00",80,62
5.902405,"Oil spillages in Azuzuama Community have resulted to the death of over thirty children this year, a repentant militant leader of the South Wing, MEND, Selki Kile Torughedi has claimed.

>> http://allafrica.com/stories/201003300377.html
>> http://www.nigeriawatch.org/index.php?urlaction=evtView&id_evt=5989&rang=5805","Oil spillages in Azuzuama Community kill 30 children this year",1,1,1,4.718778,"Azuzuama Community","2010-04-14 03:51:00",100,63
7.229004,"Shell Petroleum Develop-ment Company (SPDC) is about to forfeit ownership of the land hosting its biggest export terminal in the country following the judgment of the Court of Appeal sitting in Port Harcourt, Rivers
State.

The Bonny terminal currently has over 12 million barrel of crude oil storage capacity and is also the biggest export terminal in Nigeria. It has a helicopter landing pad and facilities capable of loading super
tankers – in addition to an indoor berthing facility that can take six ocean going tankers, an expatriate club, a residential area, amongst others.

The Court of Appeal at the weekend re-affirmed Rivers State High Court order which ordered the multi-national oil giant to forfeit the land to the indigenes of Bonny.

>> Read more here http://www.thisdayonline.com/nview.php?id=171420","Port Harcourt: Appeal Court Sacks Shell from Bonny Island",1,1,1,4.42309,"Port Harcourt","2010-04-20 02:02:00",176,66
8.245239,"The recent oil spill in Ibeno local government area of Akwa Ibom has once again brought to the fore the environmental hazard facing oil bearing communities in the Niger Delta and the need to ensure sustainable development of the region. Recently, the entire shoreline of Ibeno local government area which runs into several kilometres adjacent to the Atlantic Ocean was devastated by oil spill from the activities of oil producing companies operating offshore. Among the oil companies operating offshore Akwa Ibom include Mobil Producing Nigeria (MPN) operator of the Nigerian National Petroleum Corporation (NNPC/MPN) joint venture, Afren, former Addax and Mono Poli. It is not the first time that the oil bearing communities of the state had been hit by oil spill, but this time around, a new twist that has crept into the incident is the denial of responsibility by the oil companies.

>> Read more here http://www.businessdayonline.com/index.php?option=com_content&view=article&id=9908:oil-spillage-and-niger-delta-communities&catid=117:news&Itemid=349","Spillage in Ibeno - oil companies deny responsability",1,0,1,4.647605,"Ibeno, Akwa Ibom","2010-04-08 05:03:00",209,68
7.921143,"Fishermen and fish pond operators in Akwa Ibom have listed frequent oil spills from the Qua Iboe oil fields as an insurmountable obstacle to food security in the state. Chief Inyang Ekong, Secretary, Akwa Ibom chapter of Artisan Fishermen Association of Nigeria (AFAN), made the assertion in an interview with the News Agency of Nigeria (NAN) in Eket, Akwa Ibom. Ekong also said that delays in the payment of compensation claims by Mobil Producing Nigeria had thrown many of his members out of business.

>> Read more here http://leadershipnigeria.com/news/niger-delta/13736-food-security-fishermen-other-operators-blame-oil-spills","Nigerian fishermen blame oil spills for poor food security",1,1,1,4.647605,"Eket, Akwa Ibom","2010-04-22 05:13:00",210,69
6.262207,"Italian oil company Eni SpA said Wednesday a disruption at its subsidiary's Brass River oil operation had cut production back by 12,000 barrels a day in the Niger Delta, an area often beset by militant attacks.

A Eni spokesman told The Associated Press the disruption occurred Wednesday and pushed the company into declaring force majeure — meaning it is impossible for the oil company to cover the promised supply from the field.","Force majeure declared on Brass River oil",1,1,1,4.313546,"Brass, Rivers State","2010-04-28 08:15:00",310,73
6.992798,"LAGOS, Nigeria — A militant group claimed Friday to have attacked an oil pipeline in Nigeria that is operated by a subsidiary of Royal Dutch Shell PLC, which said no such assault took place.

A statement sent by a group calling itself the Joint Revolutionary Council of the Niger Delta said it carried out the attack on the pipeline at Buguma. A Shell spokesman, though, said oil production in the region showed no signs of a disruption.","Militant group claims oil pipeline attack",1,1,1,4.620229,"Bugama Creek","2010-04-30 06:02:00",323,75
6.71814,"JK4, otherwise called Edagberi, is the 4th settlement of the Engene people of Joinkrama in Ahoada LGA of Rivers State. Some of its closest neighbours are Akinima [Headquarters of the LGA] and Biseni in Bayelsa State.

JK4 owns over 40 oil wells operated by Shell. The community is faced with environmental hazards occasioned by gas flared from the Adibawa Flow Station and from incessant oil spills in the environment. These oil spills have been attributed to equipment failure as the pipelines are old and rusty. Only recently, some of these pipes laid over forty years ago were replaced along the Adibawa flow line that delivers crude to the Okordia Manifold.

>> Read more here http://www.eraction.org/component/content/article/208-field-report-224-fresh-oil-spills-at-edagberi-adibawa-lake-seriously-impacted","Fresh Oil Spills At Edagberi: Adibawa Lake Seriously Impacted",1,1,1,4.965088,"Edagberi","2010-05-02 09:23:00",535,76
